LM=47,
593,122
593,108
600,94
602,82
600,72
591,61
578,49
565,41
553,34
537,24
520,19
504,13
493,7
488,10
484,22
479,38
478,56
472,70
468,86
473,100
479,116
ID=Protolambda,
LM=47,
2492,1367
2075,910
2268,1540
1988,1113
1605,1133
1522,1593
1675,1733
2242,1730
2125,1753
2048,1810
1958,1850
1858,1880
1778,1853
1592,1837
1482,1727
1442,1627
1448,1560
1485,1493
1495,1353
1525,1260
1518,1140
1535,1050
1595,993
1668,947
1742,937
1818,920
1878,920
1928,907
1985,837
2065,797
2145,787
2242,810
2318,873
2405,960
2465,1027
2515,1093
2575,1190
2625,1280
2645,1333
2668,1397
2688,1440
2672,1513
2635,1563
2558,1650
2468,1707
2405,1730
2332,1737
ID=Didelphodon,
LM=47,
182,172
440,365
176,366
370,448
449,633
241,761
178,658
101,497
97,548
96,609
105,658
125,700
148,733
177,766
210,780
237,790
260,780
262,761
282,741
301,720
366,698
442,678
482,656
490,630
469,585
421,520
422,481
425,446
444,424
478,401
497,377
497,353
472,328
366,233
326,204
294,189
249,176
208,158
177,142
149,145
126,173
108,220
116,272
110,314
100,362
97,408
100,458
ID=Leptalestes,
LM=47,
10342,7450
9133,6192
9175,7683
8633,6883
7492,6183
7000,7000
7317,7642
8725,8050
8275,8042
8017,8033
7633,7967
7217,7875
7117,7783
6892,7433
6733,7167
6717,7025
6758,6833
6925,6567
6950,6333
7100,6058
7233,5933
7467,5875
7683,5900
7892,6017
8058,6117
8250,6150
8408,6108
8558,5967
8842,5858
9108,5783
9375,5833
9608,5950
9808,6042
9967,6217
10092,6400
10242,6583
10333,6725
10367,6900
10483,7083
10608,7233
10667,7483
10575,7675
10333,7758
9817,7825
9567,7942
9333,8058
9058,8125
ID=Batodon,
LM=47,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
ID=Gypsonictops,
LM=47,
2095,1093
1970,1492
1838,1083
1767,1253
1590,1460
1442,1330
1470,1125
1750,1020
1697,1038
1652,1050
1595,1047
1535,1050
1482,1072
1432,1102
1420,1162
1405,1225
1388,1297
1400,1353
1445,1398
1497,1480
1565,1525
1622,1535
1672,1520
1710,1485
1753,1458
1785,1452
1815,1450
1855,1482
1900,1550
1953,1588
1992,1597
2038,1585
2078,1550
2127,1463
2140,1385
2142,1290
2145,1185
2158,1132
2158,1085
2135,1047
2102,1023
2055,1010
1962,1003
1880,1000
1837,1000
1807,998
1780,1005
ID=Cimolestes,
LM=47,
15,87
60,37
79,100
97,52
145,21
183,58
162,98
93,111
108,111
127,110
145,110
161,110
178,106
190,97
196,85
200,72
201,61
196,51
185,37
179,26
171,13
158,5
141,4
125,7
113,10
98,12
87,11
72,9
56,7
45,9
35,15
29,24
24,36
21,48
16,60
15,70
12,78
9,84
8,92
14,97
24,102
36,106
46,110
57,114
67,116
74,116
81,114
ID=Labes,
LM=47,
2444,1298
2250,1626
2222,1184
2058,1306
1872,1446
1752,1334
1838,1176
2062,1158
2016,1132
1960,1112
1902,1102
1862,1114
1824,1140
1788,1176
1762,1214
1744,1252
1728,1286
1712,1330
1714,1378
1750,1412
1772,1430
1786,1482
1818,1524
1868,1548
1902,1552
1942,1548
2024,1564
2088,1602
2116,1662
2168,1710
2222,1726
2276,1716
2314,1678
2352,1600
2394,1490
2440,1394
2478,1308
2476,1288
2454,1268
2354,1208
2320,1170
2276,1138
2236,1124
2184,1116
2150,1120
2118,1132
2094,1144
ID=Altacreodus,
LM=47,
568,143
316,355
645,315
484,492
440,668
585,739
744,643
725,424
739,461
756,505
777,555
792,601
797,636
797,668
780,692
740,719
709,731
677,744
633,764
592,771
544,761
475,751
419,739
391,719
377,684
379,636
376,567
332,473
289,455
241,440
207,415
189,389
179,347
187,320
216,295
255,271
327,224
389,185
475,140
533,101
561,88
592,99
631,145
671,199
704,239
727,304
732,373
ID=Ambilestes,
LM=47,
2395,1251
2324,1332
2314,1222
2270,1256
2205,1279
2166,1244
2200,1206
2277,1186
2257,1187
2229,1182
2207,1182
2192,1187
2178,1206
2164,1223
2156,1239
2158,1256
2171,1267
2176,1284
2184,1297
2195,1306
2214,1305
2228,1298
2242,1296
2255,1296
2264,1299
2271,1302
2277,1306
2283,1329
2291,1357
2302,1374
2324,1382
2343,1380
2358,1370
2370,1349
2378,1326
2393,1298
2406,1282
2415,1272
2415,1252
2406,1232
2390,1216
2373,1209
2346,1196
2328,1187
2316,1184
2304,1182
2290,1182
ID=Scollardius,
LM=47,
444,249
483,277
441,281
486,298
504,330
466,351
445,334
435,311
435,320
437,329
441,340
447,346
454,352
460,356
466,357
472,356
476,353
484,351
494,349
504,346
511,342
515,336
515,329
513,321
509,313
507,308
505,303
503,297
504,288
504,282
500,273
495,267
487,261
480,256
473,252
466,249
460,247
454,245
448,243
443,242
440,247
438,253
438,266
438,272
434,277
431,284
432,296
ID=Glasbius,
LM=47,
391,95
445,144
400,151
424,198
435,229
417,247
392,231
381,156
377,167
375,182
374,200
379,219
381,232
389,240
397,244
405,250
413,254
423,253
432,250
438,243
442,234
441,223
441,213
441,202
442,192
444,183
446,173
449,163
454,154
455,146
454,135
450,124
448,114
448,103
449,87
443,76
435,69
419,66
408,62
393,57
386,58
377,66
373,85
374,99
376,114
381,129
382,143
ID=Nanocuris,
LM=47,
103,27
155,121
183,30
210,85
267,146
346,65
289,36
222,19
240,24
257,27
271,25
293,25
314,29
321,35
333,38
346,48
356,61
351,73
337,80
328,92
316,114
305,136
288,162
268,173
251,168
237,156
206,147
179,146
165,155
147,159
131,153
120,140
111,116
103,96
98,76
91,54
87,39
83,29
83,14
90,10
103,6
118,7
135,12
152,17
169,11
186,9
203,12
ID=Nortedelphys,
LM=47,
303,220
233,137
218,222
197,186
128,138
100,207
122,251
201,272
174,272
146,274
121,274
104,266
98,254
94,237
88,223
81,203
88,174
87,152
92,130
100,110
110,99
127,96
150,100
166,104
181,106
196,100
206,96
219,86
242,80
263,81
281,89
294,101
304,114
310,130
316,154
320,176
322,191
322,210
327,224
326,240
318,254
306,264
294,272
274,277
254,277
240,277
224,274
ID=Protungulatum,
LM=47,
1555,165
1445,458
1322,142
1275,300
1099,468
962,309
1017,156
1227,80
1171,82
1090,90
1014,113
981,136
970,165
966,197
935,262
919,326
925,350
943,358
966,366
993,394
1022,468
1042,494
1077,506
1123,504
1201,472
1243,449
1287,441
1338,454
1377,493
1423,513
1469,508
1523,480
1561,422
1583,354
1590,290
1594,244
1594,206
1610,162
1598,117
1569,100
1539,93
1499,93
1458,92
1417,88
1367,81
1323,78
1277,78
ID=Deccanolestes,
LM=47,
1884,1513
2002,1414
1992,1570
2055,1453
2200,1405
2220,1528
2150,1596
2039,1593
2062,1580
2087,1578
2110,1597
2122,1617
2142,1625
2163,1621
2187,1601
2216,1570
2240,1549
2251,1520
2248,1480
2251,1437
2251,1393
2235,1364
2208,1352
2166,1346
2138,1344
2118,1338
2108,1332
2096,1326
2075,1316
2054,1314
2026,1314
2000,1328
1964,1360
1931,1398
1900,1432
1870,1462
1844,1488
1844,1512
1862,1530
1886,1550
1922,1554
1930,1576
1956,1600
1988,1612
2004,1609
2016,1606
2023,1596
ID=Leptacodon,
LM=47,
65,41
121,90
55,102
86,132
118,170
75,193
50,172
33,129
34,145
34,158
33,172
36,183
43,190
52,196
62,203
71,208
84,209
94,208
107,204
120,199
132,192
141,187
148,181
152,173
153,165
156,154
159,136
161,121
167,112
170,101
170,90
168,75
163,64
157,55
146,43
133,37
118,37
106,35
91,29
75,26
62,27
51,33
46,44
43,67
38,78
32,93
31,111
ID=Kharmerungulatum,
LM=47,
98,133
136,198
157,118
202,201
261,205
314,152
281,117
182,89
201,90
223,89
246,85
267,85
289,90
306,99
319,112
328,129
330,150
326,168
327,197
326,224
317,245
301,264
278,272
252,275
236,271
217,262
204,266
184,278
162,283
140,278
125,266
110,253
100,241
89,225
84,206
82,186
81,167
78,150
75,133
74,117
84,104
96,96
109,91
119,92
130,86
146,82
161,83
ID=Roberthoffstetteria,
LM=47,
128,40
65,77
134,92
85,125
57,161
97,185
131,164
144,120
146,133
144,144
140,155
138,165
132,173
122,175
115,180
107,186
100,193
90,194
84,189
74,185
63,181
56,174
50,165
53,157
58,150
61,144
61,124
52,116
47,108
43,99
41,91
44,79
49,73
56,67
63,63
73,58
83,56
93,50
105,44
117,38
131,31
140,34
146,45
151,60
150,79
154,96
150,108
ID=Szalinia,
LM=47,
75,826
235,1013
230,780
352,960
464,1011
562,894
504,801
299,774
339,787
380,795
419,797
449,796
486,783
525,789
554,811
568,845
580,881
581,907
564,923
548,956
538,995
532,1028
523,1064
501,1082
466,1087
416,1084
360,1083
302,1081
262,1090
220,1086
192,1074
173,1043
154,1012
128,970
108,935
91,900
73,867
56,840
50,817
62,805
84,798
116,793
148,785
179,779
198,760
225,751
259,759
ID=Pucadelphys,
LM=47,
81,131
138,219
153,104
197,144
244,179
286,118
267,86
165,67
181,65
200,65
221,67
242,67
263,68
279,76
289,91
299,106
303,124
302,145
293,160
288,178
286,199
281,218
275,233
260,239
243,235
229,226
209,222
190,225
175,240
160,255
143,264
128,261
113,251
104,234
96,218
90,204
83,187
76,168
75,152
73,126
68,109
67,97
69,83
82,79
99,74
118,70
141,66
ID=Alcidedorbignya,
LM=47,
307,320
390,237
396,364
460,280
544,230
578,300
545,366
436,351
454,346
470,359
490,371
510,371
522,383
549,383
572,364
590,348
605,331
610,303
611,281
617,253
622,230
623,203
609,183
582,167
542,153
509,145
480,139
450,134
419,131
392,129
368,133
344,151
333,167
320,191
310,211
298,233
292,257
282,280
283,320
292,341
311,351
334,349
356,371
378,389
364,381
402,389
416,370
ID=Alveugena,
LM=47,
1394,1286
1654,1534
1620,1216
1766,1306
2026,1460
2154,1212
2042,1048
1778,980
1814,958
1884,944
1966,930
2056,950
2134,962
2192,984
2222,1060
2246,1128
2262,1234
2294,1338
2332,1454
2350,1540
2310,1606
2194,1664
2108,1670
2062,1676
2022,1682
1990,1684
1932,1688
1896,1694
1836,1718
1788,1728
1742,1726
1682,1722
1606,1694
1546,1658
1474,1610
1438,1562
1404,1492
1380,1416
1354,1336
1334,1266
1326,1222
1346,1148
1376,1090
1426,1034
1498,1004
1564,968
1678,968
ID=Baioconodon,
LM=47,
420,55
518,100
416,144
484,177
527,235
478,285
420,250
393,190
394,212
396,237
397,259
407,276
423,288
448,295
474,299
492,293
504,288
518,282
534,273
540,262
544,252
544,237
542,224
539,208
537,198
536,188
536,176
540,154
547,136
552,119
546,103
539,90
526,80
510,70
492,62
474,54
457,50
439,48
426,43
416,44
408,52
399,67
395,84
391,102
388,120
386,140
388,164
ID=Betonnia,
LM=47,
1952,1530
2108,1396
2094,1612
2216,1500
2436,1420
2480,1626
2392,1726
2172,1732
2224,1738
2282,1740
2326,1748
2376,1762
2430,1752
2466,1718
2494,1674
2518,1618
2530,1572
2538,1520
2542,1468
2536,1422
2512,1376
2490,1342
2450,1322
2406,1322
2362,1328
2330,1332
2292,1340
2258,1334
2222,1302
2190,1284
2148,1264
2098,1264
2046,1276
2006,1304
1970,1346
1948,1390
1930,1426
1898,1480
1882,1528
1868,1580
1884,1634
1920,1676
1972,1698
2026,1712
2066,1722
2098,1728
2126,1730
ID=Carcinodon,
LM=47,
416,94
483,184
494,79
543,126
588,165
635,124
634,96
524,48
548,49
569,54
590,59
614,59
632,59
652,62
665,71
667,93
664,112
659,137
655,153
652,176
645,189
636,198
625,204
613,207
599,207
578,206
561,202
541,204
520,209
497,211
474,208
458,200
444,185
434,172
425,156
418,141
413,119
409,103
410,91
412,83
416,75
425,68
439,60
453,54
467,51
481,50
501,48
ID=Eoconodon,
LM=47,
2226,1455
2100,1703
2078,1400
1964,1591
1814,1638
1737,1498
1817,1352
2034,1334
2000,1319
1956,1316
1916,1304
1861,1298
1814,1300
1774,1334
1742,1376
1725,1415
1721,1451
1706,1502
1716,1540
1733,1598
1753,1659
1794,1703
1829,1719
1874,1723
1904,1720
1934,1704
1950,1707
1970,1719
1984,1742
2014,1760
2057,1782
2093,1786
2132,1782
2169,1763
2205,1726
2233,1692
2248,1671
2253,1608
2256,1550
2262,1503
2262,1455
2252,1427
2228,1402
2196,1379
2141,1350
2106,1336
2076,1334
ID=Onychodectes,
LM=47,
50,81
119,153
39,162
77,199
105,233
74,259
43,245
5,190
9,205
14,221
17,236
21,250
30,261
43,266
53,271
65,275
76,275
83,270
92,264
105,256
118,246
121,238
122,228
120,221
118,210
117,197
122,183
131,168
141,157
146,147
146,136
143,126
136,116
130,109
121,100
110,93
94,89
80,84
65,77
50,71
34,79
26,86
22,101
16,115
8,128
7,148
4,171
ID=Puercolestes,
LM=47,
466,330
544,200
551,389
673,287
758,235
800,320
761,394
661,487
690,475
717,473
750,476
778,477
804,464
827,444
848,408
858,379
860,346
860,306
847,272
834,235
822,215
802,196
782,184
757,176
733,175
710,176
685,176
660,163
638,142
613,125
587,109
563,99
529,96
486,110
458,134
439,180
435,230
434,280
437,336
448,388
471,438
498,472
525,491
558,503
585,503
609,501
625,500
ID=Wortmania,
LM=47,
1417,1625
1580,1433
1643,1647
1762,1573
1890,1418
2023,1557
1975,1702
1822,1795
1870,1787
1935,1780
2008,1775
2045,1758
2065,1710
2087,1645
2087,1577
2072,1500
2052,1430
2032,1370
2013,1330
1973,1300
1933,1298
1883,1315
1852,1332
1830,1340
1805,1345
1783,1340
1767,1337
1730,1328
1688,1315
1637,1312
1605,1312
1557,1335
1502,1380
1453,1437
1418,1500
1397,1563
1382,1627
1392,1677
1430,1728
1483,1773
1550,1813
1607,1832
1657,1840
1693,1835
1725,1830
1757,1820
1782,1808
ID=Mimatuta,
LM=47,
431,263
373,125
312,267
248,193
172,151
82,244
123,301
244,368
217,362
190,361
158,360
129,360
98,349
78,330
70,300
61,285
46,268
37,240
37,216
37,183
42,144
59,113
80,89
107,70
137,59
173,61
221,75
260,86
279,65
302,51
321,43
354,41
390,43
422,53
454,80
481,112
498,146
505,190
505,224
501,263
494,305
479,344
454,385
423,403
375,405
328,400
279,385
ID=Pucanodus,
LM=47,
67,47
118,93
55,98
104,131
125,159
81,192
50,174
20,115
20,131
17,145
17,163
20,182
28,196
45,209
59,209
71,208
86,202
101,197
122,197
137,195
150,187
156,177
160,164
160,153
160,145
159,136
156,125
158,113
159,100
160,89
158,77
155,62
148,51
140,44
130,35
118,32
106,30
94,30
79,33
66,35
55,37
48,44
43,52
35,61
26,72
19,87
19,100
ID=Cocatherium,
LM=47,
2058,1523
2125,1432
2134,1540
2171,1454
2261,1430
2284,1530
2239,1583
2158,1587
2182,1596
2213,1604
2238,1608
2260,1594
2270,1578
2291,1562
2304,1546
2304,1528
2309,1511
2306,1488
2304,1456
2294,1432
2287,1409
2272,1394
2256,1386
2240,1383
2218,1387
2201,1387
2186,1383
2170,1374
2151,1362
2129,1356
2112,1356
2094,1364
2083,1376
2070,1396
2059,1414
2050,1435
2042,1456
2037,1479
2031,1512
2033,1536
2044,1555
2064,1574
2083,1585
2099,1586
2116,1587
2129,1586
2144,1584
ID=Oxyacodon,
LM=47,
1832,1478
2094,1672
2064,1346
2258,1524
2490,1580
2530,1268
2348,1136
2140,1074
2186,1062
2244,1030
2318,1008
2390,1004
2474,1036
2526,1066
2574,1122
2610,1188
2650,1282
2674,1356
2684,1420
2690,1498
2690,1576
2680,1638
2634,1696
2564,1736
2510,1744
2454,1736
2376,1746
2298,1762
2244,1804
2168,1838
2092,1856
2006,1830
1936,1784
1874,1732
1828,1668
1786,1600
1760,1514
1756,1426
1784,1342
1820,1280
1852,1206
1904,1128
1958,1100
2004,1084
2042,1080
2076,1078
2108,1078
ID=Conacodon,
LM=47,
829,772
944,606
768,627
914,542
966,424
874,386
778,430
740,580
744,547
759,515
757,495
743,466
736,441
748,405
772,381
808,373
845,373
884,373
921,364
964,361
1001,370
1027,394
1039,423
1034,450
1024,472
1018,495
1017,520
1021,556
1042,567
1060,587
1069,609
1065,639
1052,666
1031,689
1003,714
979,733
956,750
930,771
910,789
874,809
837,818
804,804
785,767
791,723
756,690
740,663
736,623
ID=Bryanictis,
LM=47,
1620,946
1706,1238
1838,860
1978,1092
2144,1190
2334,1022
2284,752
1914,606
1992,636
2086,640
2184,620
2280,612
2368,622
2428,676
2474,766
2498,844
2506,960
2520,1052
2534,1146
2522,1238
2484,1338
2412,1410
2320,1466
2200,1500
2080,1512
1972,1524
1836,1522
1728,1488
1640,1440
1578,1390
1538,1336
1496,1262
1474,1158
1472,1068
1472,988
1476,896
1488,826
1514,756
1540,714
1578,666
1612,624
1648,598
1682,598
1728,596
1764,588
1808,588
1836,588
ID=Ectoconus,
LM=47,
2179,1223
2026,1114
2011,1265
1969,1178
1833,1103
1791,1266
1874,1342
2034,1370
1998,1366
1955,1377
1913,1389
1878,1398
1838,1398
1807,1378
1777,1339
1759,1313
1747,1269
1742,1227
1742,1178
1743,1127
1747,1085
1759,1051
1793,1023
1831,1026
1871,1042
1905,1046
1926,1043
1954,1034
1993,1005
2022,995
2065,994
2109,1015
2149,1042
2183,1078
2199,1117
2211,1166
2214,1225
2214,1269
2202,1307
2185,1327
2161,1346
2137,1357
2115,1367
2090,1374
2071,1374
2059,1371
2046,1370
ID=Maiorana,
LM=47,
2216,1452
2148,1379
2132,1499
2082,1428
2014,1391
1960,1476
2009,1540
2126,1583
2085,1587
2046,1599
2012,1599
1985,1591
1960,1580
1942,1554
1938,1528
1932,1500
1932,1470
1932,1440
1940,1412
1946,1387
1950,1362
1982,1340
2002,1335
2022,1338
2045,1344
2060,1350
2074,1347
2093,1338
2114,1326
2141,1315
2169,1314
2190,1323
2212,1338
2229,1358
2241,1383
2250,1415
2256,1451
2257,1496
2257,1524
2240,1551
2224,1566
2200,1574
2182,1580
2166,1582
2156,1582
2148,1583
2137,1583
ID=Hemithlaeus,
LM=47,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
ID=Allqokirus,
LM=47,
1958,1360
2035,1448
2052,1329
2112,1394
2196,1452
2235,1366
2180,1297
2082,1264
2111,1268
2142,1268
2164,1261
2190,1258
2211,1270
2232,1292
2244,1316
2255,1346
2256,1376
2244,1398
2240,1420
2235,1449
2230,1477
2207,1486
2179,1486
2163,1482
2143,1485
2130,1489
2118,1490
2107,1494
2090,1506
2063,1513
2028,1510
1999,1504
1971,1478
1959,1442
1947,1408
1935,1380
1931,1357
1939,1332
1954,1301
1970,1277
1987,1266
2004,1260
2019,1254
2036,1252
2048,1252
2059,1254
2071,1258
ID=Alticonus,
LM=47,
34,77
74,97
69,53
100,84
122,88
127,53
112,36
63,35
73,33
81,32
90,31
97,28
107,26
115,26
124,29
131,36
134,45
141,52
144,60
142,70
139,78
142,88
143,99
138,109
128,115
119,117
110,120
99,127
89,134
78,136
66,136
55,132
47,126
41,119
36,110
31,101
28,92
24,86
22,78
22,69
25,61
30,56
35,48
40,44
45,41
49,39
53,37
ID=Ampliconus,
LM=47,
54,145
270,420
292,120
392,274
538,386
656,186
549,125
326,52
372,58
420,61
465,70
505,70
549,80
596,92
633,113
668,137
696,173
698,210
676,242
641,268
620,300
606,340
592,381
564,421
521,444
462,448
402,438
341,430
312,468
277,486
232,488
204,466
173,437
148,393
122,354
93,314
74,281
53,248
38,208
25,177
6,146
17,122
28,98
76,93
128,81
198,76
265,57
ID=Andinodelphys,
LM=47,
301,929
173,876
317,842
230,795
164,702
266,644
343,680
391,765
381,742
383,713
388,685
385,653
373,626
347,607
313,595
284,591
249,592
217,594
185,587
151,585
117,596
95,608
76,631
66,661
65,687
65,721
65,751
64,793
57,827
57,861
68,891
82,917
103,944
129,956
168,965
198,969
228,969
265,971
302,972
334,968
367,947
385,927
398,903
402,875
404,844
404,823
398,798
ID=Andinodus,
LM=47,
447,308
522,356
441,370
483,403
523,455
469,490
421,472
406,394
405,415
399,435
397,455
401,473
411,490
427,496
442,500
461,504
473,504
485,496
500,489
517,487
530,486
544,481
554,470
560,457
560,437
557,418
554,403
557,387
562,369
563,352
563,334
559,321
546,307
535,301
516,295
498,292
483,291
467,288
453,288
437,291
424,297
409,310
402,322
401,337
400,352
400,365
402,377
ID=Bubogonia,
LM=47,
104,122
326,210
121,260
293,382
413,517
222,620
94,560
52,397
62,429
62,477
56,522
56,560
62,596
85,636
120,662
161,673
206,672
241,670
294,666
336,666
380,668
430,660
472,638
498,610
516,577
522,526
497,441
497,386
505,332
501,288
484,244
458,200
426,168
386,137
340,124
284,108
228,108
182,104
141,101
104,94
73,110
52,150
33,201
24,250
24,294
26,321
32,345
ID=Chacomylus,
LM=47,
544,189
481,387
417,166
348,309
227,402
125,256
167,156
363,42
319,62
279,72
235,62
190,66
148,79
115,99
93,130
88,164
86,207
86,251
94,293
103,335
120,375
134,412
155,449
195,483
247,492
307,482
360,476
416,480
462,491
501,485
537,468
561,446
579,412
597,375
607,338
614,289
614,250
611,199
604,156
582,112
558,77
534,58
508,44
482,33
454,29
428,29
404,30
ID=Choeroclaenus,
LM=47,
1533,1408
1630,1285
1653,1423
1692,1338
1807,1295
1880,1410
1810,1442
1725,1457
1777,1460
1803,1463
1827,1467
1850,1465
1865,1453
1885,1438
1900,1422
1903,1402
1897,1378
1880,1333
1870,1302
1863,1268
1853,1252
1833,1242
1807,1242
1780,1252
1758,1252
1740,1247
1725,1242
1697,1233
1673,1228
1653,1228
1630,1235
1607,1258
1587,1295
1565,1327
1543,1355
1532,1375
1510,1402
1510,1420
1527,1428
1563,1433
1600,1432
1612,1432
1627,1453
1647,1467
1663,1468
1680,1467
1700,1463
ID=Incadelphys,
LM=47,
1757,1453
1870,1253
2000,1443
1995,1318
2152,1228
2270,1357
2225,1445
2097,1518
2147,1512
2187,1508
2222,1505
2253,1490
2278,1472
2292,1440
2303,1412
2307,1375
2300,1350
2280,1325
2265,1307
2252,1270
2233,1228
2220,1208
2183,1187
2145,1185
2108,1192
2067,1210
2022,1218
1965,1225
1933,1208
1897,1200
1870,1205
1845,1220
1825,1248
1807,1285
1788,1328
1768,1365
1748,1412
1732,1445
1725,1463
1737,1493
1767,1512
1810,1515
1855,1512
1897,1508
1943,1510
1993,1515
2048,1522
ID=Khasia,
LM=47,
615,85
732,261
557,289
658,369
689,437
595,497
553,425
544,335
542,369
536,398
528,427
538,460
553,483
569,512
593,539
623,529
638,511
655,497
669,479
688,466
708,453
718,441
718,431
709,413
700,401
697,381
703,363
718,338
749,330
776,321
784,285
789,256
790,220
776,191
755,166
730,144
706,115
689,96
668,68
638,46
601,45
580,77
572,118
578,164
571,205
540,250
522,295
ID=Mayulestes,
LM=47,
26,84
52,115
59,61
78,94
102,107
111,69
99,52
61,39
72,37
80,34
93,33
105,34
113,40
119,48
122,59
123,69
123,81
126,91
126,100
125,109
120,116
114,121
106,123
99,124
92,124
87,124
80,125
72,126
60,128
47,128
40,126
33,122
28,115
21,107
18,98
15,90
15,81
16,73
18,64
21,58
25,51
29,47
33,44
37,41
41,40
44,40
51,39
ID=Mithrandir,
LM=47,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
ID=Molinodus,
LM=47,
438,183
349,331
303,154
241,262
152,318
84,229
123,135
254,75
221,82
184,79
145,77
102,90
75,108
59,132
48,168
43,204
42,242
42,276
37,315
37,360
46,398
64,429
94,447
124,459
157,462
195,461
238,455
278,461
320,464
351,467
394,463
429,447
454,431
468,400
482,371
486,336
493,296
495,259
495,213
497,188
503,150
499,114
469,80
440,64
401,49
344,49
301,60
ID=Simoclaenus,
LM=47,
121,282
349,446
90,493
324,580
417,748
213,873
112,752
69,541
77,589
82,634
80,688
74,750
93,801
130,846
166,881
210,906
254,874
288,834
329,822
377,813
422,801
453,769
458,734
458,696
453,669
441,640
432,590
436,538
433,481
417,433
398,400
368,373
340,346
301,321
264,301
228,282
182,266
142,249
114,240
93,253
86,282
80,328
80,360
80,401
70,432
60,454
56,490
ID=Thylacodon,
LM=47,
278,71
169,149
319,156
229,235
183,304
296,338
365,284
401,191
401,219
412,248
422,276
427,315
421,347
411,379
386,401
359,413
316,418
271,424
236,422
204,417
166,412
140,393
122,371
110,352
105,330
105,299
118,265
120,234
100,210
94,179
99,143
111,111
128,90
146,66
169,50
197,35
224,31
258,28
284,30
312,32
339,37
368,53
382,70
395,89
402,104
407,119
406,153
ID=Tinuviel,
LM=47,
439,673
255,511
454,450
374,370
251,231
417,127
526,190
599,409
591,381
597,339
613,294
625,246
625,205
602,161
558,125
466,81
415,62
333,71
225,98
169,123
118,165
82,222
65,267
61,307
69,346
93,394
98,438
93,469
75,522
67,559
67,599
85,662
115,703
145,734
190,755
239,777
279,794
323,811
361,819
409,819
461,811
509,794
555,755
593,702
618,615
625,534
619,469
ID=Tiuclaenus,
LM=47,
584,332
760,106
776,406
858,188
972,116
1108,336
994,414
842,462
880,448
924,452
976,450
1016,450
1062,438
1100,418
1138,394
1158,376
1138,328
1118,292
1120,232
1104,184
1096,142
1066,96
1028,72
988,62
944,62
900,62
850,62
806,56
764,46
718,48
688,64
660,88
640,122
618,152
594,182
570,216
554,254
540,290
532,326
520,358
532,392
562,418
594,440
638,446
676,456
728,468
788,468
ID=Tiulordia,
LM=47,
502,206
606,372
598,178
725,331
821,390
958,249
889,142
693,67
733,83
770,85
814,76
869,83
914,100
949,120
987,153
1003,185
1009,231
1011,276
1002,314
976,350
957,399
933,439
904,462
873,496
833,511
792,521
741,523
692,521
647,524
608,515
566,498
536,471
512,449
491,412
473,381
466,336
465,299
464,263
459,227
449,196
442,158
456,119
480,99
505,80
543,58
590,52
638,54
ID=Tiznatzinia,
LM=47,
142,174
236,302
250,146
340,260
426,320
497,192
432,105
298,42
333,40
376,40
413,40
456,54
486,73
512,106
525,145
538,190
544,233
553,277
553,328
544,377
520,412
484,434
442,441
397,434
369,426
342,414
324,406
284,406
242,417
186,417
144,404
104,382
78,354
62,318
62,281
62,236
48,192
48,156
60,118
74,89
97,65
121,50
149,42
173,42
194,42
220,42
258,44
ID=Carsioptychus,
LM=47,
130,39
40,96
139,126
67,162
41,214
104,252
130,211
150,175
147,192
145,212
141,228
134,244
123,257
107,263
96,260
80,262
63,263
51,260
41,254
31,245
24,233
24,222
27,211
32,203
36,189
38,176
37,163
28,146
22,132
18,113
19,99
25,87
38,78
52,69
71,59
88,49
106,38
125,27
139,29
141,40
140,54
140,82
137,105
148,116
152,127
149,141
151,158
ID=Peradectes,
LM=47,
2456,1450
2330,1208
2246,1494
2196,1308
1966,1180
1802,1390
1922,1576
2162,1628
2124,1624
2056,1654
2006,1672
1942,1674
1868,1654
1806,1608
1760,1540
1730,1460
1730,1370
1722,1280
1738,1198
1776,1118
1816,1048
1872,1008
1924,992
1984,996
2030,1008
2086,1014
2128,1012
2184,1008
2240,990
2320,992
2382,1006
2428,1044
2470,1084
2510,1128
2540,1174
2564,1246
2566,1342
2566,1412
2564,1482
2542,1554
2502,1600
2450,1636
2390,1660
2334,1670
2282,1670
2232,1658
